identifier	variety	winery	AVA	vintage	pH	titratableAcidity	ethanol	price_USD	nCases	wineID	collectionYear	sourceDomain
1	Merlot	Chateau Ste Michelle	Columbia Valley	2015	3.91	5.1	15		1329	The Nod Merlot	2020	https://www.ste-michelle.com
2	Cabernet Sauvignon	Chateau Ste Michelle	Wahluke Slope	2016	3.86	5.9	14.8		974	Block 9 Cabernet Sauvignon	2020	https://www.ste-michelle.com
3	Cabernet Sauvignon	Chateau Ste Michelle	Horse Heaven Hills	2016	3.8	5.5	14.6		1391	Cabernet Sauvignon Horse Heaven Hills	2020	https://www.ste-michelle.com
4	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2015	3.88	5.6	14.8		1110	Rich Wheeler Block CS	2020	https://www.ste-michelle.com
5	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2015	3.82	5.4	15.1		420	Druthers CS	2020	https://www.ste-michelle.com
6	Bordeaux Blend	Chateau Ste Michelle	Columbia Valley	2015	3.85	5.5	14.5		2250	Artist Series CS	2020	https://www.ste-michelle.com
7	Cabernet Franc	Chateau Ste Michelle	Columbia Valley	2015	3.95	5	15.1		1202	Cold Creek Cabernet Franc	2020	https://www.ste-michelle.com
8	Bordeaux Blend	Chateau Ste Michelle	Horse Heaven Hills	2016	3.7	5.6	14.5		783	Canoe Ridge Red Blend	2020	https://www.ste-michelle.com
9	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2015	3.8	5.7	14.5		9900	Cold Creek Cabernet Sauvignon	2020	https://www.ste-michelle.com
10	Cabernet Sauvignon	Chateau Ste Michelle	Red Mountain	2016	3.83	5.6	14.9		3051	Red Mountain Cabernet Sauvignon	2020	https://www.ste-michelle.com
11	Merlot	Chateau Ste Michelle	Columbia Valley	2017	3.78	5.6	14.5			Indian Wells Merlot	2020	https://www.ste-michelle.com
12	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2017	3.86	5.5	14.5			Indian Wells Cabernet Sauvignon	2020	https://www.ste-michelle.com
13	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2017	3.83	6.1	13.5			Columbia Valley Cabernet Sauvignon	2020	https://www.ste-michelle.com
14	Cabernet Sauvignon	Chateau Ste Michelle	Columbia Valley	2016	3.74	5.6	14.5		4041	Artist Series Guardian	2020	https://www.ste-michelle.com
15	Bordeaux Blend	Chateau Ste Michelle	Columbia Valley	2016	3.69	5.8	14.5		987	Cold Creek Red Blend	2020	https://www.ste-michelle.com
16	Bordeaux Blend	Kiona	Red Mountain	2016	3.82	5.2	14.8			Estate Red Mountain Reserve	2020	https://www.kionawine.com
17	Cabernet Sauvignon	Kiona	Red Mountain	2016	3.8	5.4	14.5			Estate Red Mountain Cabernet Sauvignon	2020	https://www.kionawine.com
18	Merlot	Kiona	Red Mountain	2017	3.59	5.9	14.5			Estate Red Mountain Merlot	2020	https://www.kionawine.com
19	Malbec	Kiona	Red Mountain	2017	3.8	5	14.5			Estate Red Mountain Malbec	2020	https://www.kionawine.com
20	Cabernet Sauvignon	Kiona	Columbia Valley	2016	3.8	5.6	13.9			Columbia Valley Estates Cuvee	2020	https://www.kionawine.com
21	Cabernet Sauvignon	14 Hands	Horse Heaven Hills	2016	3.79	5.7	14.5		887	Reserve Cabernet Sauvignon	2020	https://www.14hands.com
22	Merlot	14 Hands	Horse Heaven Hills	2016	3.86	5.1	15		850	Reserve Merlot	2020	https://www.14hands.com
23	Bordeaux Blend	14 Hands	Horse Heaven Hills	2016	3.81	5.7	14.5		852	Reserve Red Blend	2020	https://www.14hands.com
24	Merlot	14 Hands	Columbia Valley	2016	3.73	5.4	13.5			14 Hands Merlot	2020	https://www.14hands.com
25	Bordeaux Blend	14 Hands	Horse Heaven Hills	2016	3.81	5.4	15		334	Reserve Cabernet Franc-Merlot	2020	https://www.14hands.com
26	Petit Verdot	14 Hands	Horse Heaven Hills	2015	3.81	5.8	14.5		252	Reserve Petit Verdot	2020	https://www.14hands.com
27	Bordeaux Blend	14 Hands	Horse Heaven Hills	2015	3.76	5.7	14.5		760	Reserve Red Blend	2020	https://www.14hands.com
28	Merlot	14 Hands	Horse Heaven Hills	2015	3.76	5.6	14.9		764	Reserve Merlot	2020	https://www.14hands.com
29	Bordeaux Blend	14 Hands	Columbia Valley	2015	3.75	5.4	14.5		151	Vintage Series Red Wine Blend	2020	https://www.14hands.com
30	Bordeaux Blend	Sparkman	Columbia Valley	2018	3.86	5.7	14	25.000	713	Kindred Red Blend	2020	https://sparkmancellars.com
31	Cabernet Sauvignon	Sparkman	Yakima Valley	2017	3.84	5.4	14.5	65.000	312	Rainmaker Cabernet Sauvignon	2020	https://sparkmancellars.com
32	Petit Verdot	Sparkman	Yakima Valley	2017	4.06	5.1	14.5		115	Underworld Petit Verdot	2020	https://sparkmancellars.com
33	Cabernet Sauvignon	Sparkman	Columbia Valley	2018	3.81	5.2	14.5	32.000	2483	Holler Cabernet Sauvignon	2020	https://sparkmancellars.com
34	Bordeaux Blend	Sparkman	Columbia Valley	2016	3.85	5.7	14.5			Ruby Leigh Merlot Blend	2020	https://sparkmancellars.com
35	Bordeaux Blend	Sparkman	Columbia Valley	2016	3.85	5.8	14.5			Stella Mae Cabernet Sauvignon blend	2020	https://sparkmancellars.com
36	Merlot	Sparkman	Columbia Valley	2017	3.8	5.1	14.5	55.000	216	Outlaw Merlow	2020	https://sparkmancellars.com
37	Cabernet Franc	Sparkman	Yakima Valley	2017	3.96	4.6	14.5			Yonder Cabernet Franc	2020	https://sparkmancellars.com
38	Malbec	Sparkman	Red Mountain	2017	3.97	5.7	14.5	48.000	325	Preposterous Malbec	2020	https://sparkmancellars.com
39	Cabernet Sauvignon	Sparkman	Red Mountain	2016	3.92	5.7	14.5			Kingpin Cabernet Sauvignon	2020	https://sparkmancellars.com
40	Cabernet Sauvignon	Sparkman	Columbia Valley	2016	3.94	5.8	14.5			Evermore Old Vines Cabernet Sauvignon	2020	https://sparkmancellars.com
41	Cabernet Sauvignon	Novelty Hill	Columbia Valley	2017	3.78	5.5	14.4		570	Stillwater Creek Cabernet Sauvignon	2020	https://www.noveltyhilljanuik.com
