orderNumber,winery,dataInCollectionYear
1,badger-mountain-vineyard,Y
2,moxee-vineyard,N
3,paradisos-del-sol-estate-winery,N
4,bergevin-lane-vineyards,N
5,wilridge-winery-pike-place-market,N
6,icicle-ridge-winery-uptown,N
7,holmes-harbor-cellars,N
8,rustic-otis-vineyard,N
9,robert-ramsay-cellars,N
10,tempus-cellars,N
11,liberty-ciderworks,N
12,elephant-mountain-vineyard,N
13,kitzke-cellars,N
14,resurgent-vineyard,N
15,ambassador,N
16,chateau-ste-michelle-cold-creek-vineyard,Y
17,heathen-estate-winery,N
18,summit-vineyard,N
19,telve-di-sopra-vineyard,N
20,hence-cellars,Y
21,stavalaura-vineyards-and-winery-2,N
22,airfield-estates-woodinville-tasting-room,Y
23,elegante-cellars,N
24,washington-vintners,N
25,ginkgo-forest-winery,N
26,lauren-ashton-cellars,N
27,bradenview-vineyard,N
28,coventry-vale-winery,N
29,vashon-winery,N
30,amelia-wynn-winery,N
31,la-coye-vineyards,N
32,roza-hills-vineyard,N
33,coventry-vale-winery-vineyards,N
34,ward-johnson-winery,N
35,goose-ridge-estate-winery-richland,N
36,patterson-cellars-hollywood-hill-tasting-room,N
37,pursued-by-bear,Y
38,yacolt-valley-vineyard,N
39,fletcher-bay-winery,N
40,upsidedown-wine,N
41,basalt-cellars,N
42,convergence-zone-cellars,Y
43,shaw-section-14-llc,N
44,pollard-vineyard,N
45,tulip-valley-winery,N
46,mw-farms-llc,N
47,blue-mountain-vineyard-llc,N
48,arianses-vineyard,N
49,barrel-springs-winery,N
50,jacob-williams-winery-2,N
51,piggyback-cellars,N
52,savage-grace-wines-2,N
53,horan-estates-winery,N
54,stoneridge-vineyards-inc,N
55,shackelford-vineyard,Y
56,big-river-vineyards,N
57,harbinger-winery,N
58,cultura-wine-2,N
59,contrivance-winery-meadery-tasting-room,N
60,dineen-vineyards-catherines-block,N
61,matthews-winery,N
62,walla-walla-vintners-2,N
63,skagit-crest-vineyard-winery,N
64,dubindil-winery,N
65,vibe-cellars,Y
66,airfield-estates-prosser-tasting-room,NA
67,alexandria-nicole-cellars-woodinville,Y
68,domaine-magdalena,Y
69,browne-family-vineyards-walla-walla,
70,orcas-island-winery,
71,esther-bricques-winery-vineyard-llc-2,
72,r-c-farms,
73,honey-moon,
74,port-townsend-vineyards,
75,jkm-vineyard,
76,ridge-of-wonders-wine,
77,champoux-vineyards-llc,
78,henry-earl-estates,
79,ethereal-meads-llc,
80,the-woodhouse-wine-estates,
81,bookwalter-vineyard,
82,five-star-cellars-woodinville,
83,schooler-nolan-winery,
84,kiona-benton-highlands,
85,omnivorous-cellars,
86,nefarious-cellars,
87,trust-cellars-2,
88,ml-production,
89,arnett-vineyard,
90,oasis-vineyard,
91,water-from-wine,
92,windy-ridge-vineyard,
93,verhey-farms,
94,celilo-vineyard,
95,vino-bellisimo,
96,esther-bricques-winery-vineyard-llc,
97,carpenter-creek-winery-2,
98,riverwine-vineyard,
99,cascade-cliffs-vineyard-winery-georgetown-tasting-room,
100,ancient-lake-wine-company-llc,
101,woodward-canyon,
102,woodward-canyon-winery,
103,quiddity-wines-woodinville-rhone,
104,spoiled-dog-winery,
105,dutchman-vineyard,
106,tildio-winery,
107,mellisoni-vineyards,
108,leonys-cellars-2,
109,cascade-cliffs-vineyard-winery-hood-river-or-tasting-room,
110,wahluke-wine-company,
111,skagit-crest-vineyard-winery-3,
112,vigneron-management,
113,isabella-grace-winery,
114,woodward-canyon-estate-vineyard,
115,gifford-vineyard,
116,sage-rat,
117,gramercy-cellars,
118,gramercy-cellars-2,
119,bartholomew-winery-kirkland,
120,moulton-falls-winery,
121,carthage-vineyard,
122,nirvana-wines,
123,amavi-cellars,
124,adytum-cellars,
125,three-rivers-winery,
126,rainmaker-farms-llc,
127,above-the-curve-vineyard,
128,audacity-wine-bar,
129,falling-rain-cellars,
130,ott-hunter-wines-tasting-room,
131,archipelago-beverage-company-wine,
132,wild-rose-vineyards,
133,edward-lynne-cellars,
134,avennia-tasting-room,
135,northwest-cellars-2,
136,candy-mountain-vineyards,
137,grosgrain-vineyards,
138,dalee-vineyard,
139,baroness-cellars,
140,discovery-vineyard,
141,epona-llc,
142,zeron-vineyards,
143,devona,
144,barrage-cellars,
145,cotes-de-ciel-walla-walla-tasting-room,
146,northwest-cellars,
147,cave-b-estate-winery,
148,dynasty-cellars-2,
149,skyfall-vineyard,
150,andrews-rowell,
151,hightower-cellars,
152,bertelson-vineyards,
153,gorge-crest,
154,cloudlift-cellars,
155,port-gardner-bay-winery-llc,
156,smoky-rose-cellars-2,
157,mosquito-fleet-winery,
158,weyns-farms,
159,charles-and-charles,
160,orr-wines,
161,sportfisher-vineyard,
162,stringtown-cellars,
163,craftsman-cellars-2,
164,grace-gorge-vineyard,
165,golden-ridge-vineyard,
166,ambassador-wines-of-washington,
167,heathen-estate,
168,spring-valley-vineyard-3,
169,greg-jones-vineyard,
170,cavallo-di-ferro,
171,cougar-crest-winery-woodinville-tasting-room,
172,cowan-fruit,
173,guardian-cellars-winery-and-tasting-room,
174,ellensburg-canyon-winery,
175,willow-crest-estate-vineyard,
176,co-dinn-cellars-best-wineries-in-yakima-valley,
177,glacier-view-cellars,
178,sweet-valley-wines,
179,silent-owl-vineyard,
180,maryhill-winery-spokane-tasting-room,
181,purtteman-estate-vineyard,
182,lake-roosevelt-shores-vineyard-and-winery,
183,walla-faces-estate-vineyard,
184,archeus-wines,
185,spring-valley-vineyard,
186,beet-road-vineyard,
187,isenhower-cellars-woodinville-tasting-room,
188,twin-cedars-winery,
189,eaglemount-wine-and-cider-2,
190,garys-vineyard,
191,mercer-canyons,
192,fox-orchards,
193,duckhorn-wine-company,
194,strawberry-hill-vineyards-llc,
195,maranna-vineyard,
196,aluel-cellars,
197,matranga-vineyards,
198,lawrence-vineyards,
199,barrister-winery,
200,fruitland-valley-vineyard-winery,
201,cadence,
202,trail-view-farm-inc,
203,bnu-tasting-room,
204,french-creek-vineyards-2,
205,jpj-family-enterprises,
206,tinte-cellars-woodinville-warehouse-district-winery-tasting-room,
207,hoodsport-winery,
208,smak-wines,
209,tertulia-cellars,
210,tucannon-cellars,
211,van-camp-cellars,
212,rocky-pond-winery,
213,eugene-d-startup,
214,andrew-will-winery,
215,eight-bells-winery,
216,patina,
217,stan-clarke-vineyard,
218,love-that-red-winery,
219,marrowstone-vineyards-2,
220,sulei-cellars,
221,shannon-faye-winery,
222,glacier-peak-winery,
223,gordon-estate-winery,
224,baer-winery-woodin-creek,
225,hyatt-vineyards-2,
226,winchester-vineyard-llc,
227,alder-creek-cellars,
228,col-solare,
229,vin-du-lac-winery-2,
230,hogue-cellars,
231,white-salmon-vineyard-2,
232,eagle-creek-winery,
233,otis-kenyon-wine-woodinville,
234,elerding-vineyard,
235,roosevelt-ridge-vineyard,
236,rulo-winery,
237,wine-oclock,
238,bunnell-family-cellar-tasting-room-woodinville,
239,grosgrain-vineyard,
240,mercer-estates-winery,
241,koi-pond-cellars,
242,mark-ryan-winery-walla-walla,
243,tamarack-cellars,
244,mill-lane-winery,
245,two-mountain-winery,
246,fidelitas,
247,shaw-mattawa-13-llc,
248,alton-wines,
249,brian-mcdermott,
250,cascade-cliffs-vineyard-winery,
251,chandler-reach-winery,
252,lake-chelan-tasting-room,
253,mellisoni-vineyards-2,
254,cheval-cellars,
255,usurious-wines-tasting-room,
256,the-lounge-at-delille-cellars,
257,dineen-vineyards-winery,
258,lush-wines,
259,estrin-estates,
260,malaga-springs-winery,
261,wynoochee-river-winery,
262,outlook-vineyard,
263,snowdrift-cider-company,
264,tildio-vineyard,
265,aquilini-red-mountain-vineyards,
266,del-rosario-family-vineyard-2,
267,simpatico-cellars,
268,blackwood-canyons-partners-llc,
269,andrews-hogue-vineyards,
270,westcott-bay-cider-2,
271,sugarloaf-vineyard,
272,lake-roosevelt-shores-vineyard,
273,stevens-winery,
274,skagit-crest-vineyard-winery-2,
275,minnick-hills-vineyards,
276,barili-cellars,
277,wit-cellars,
278,kestrel-vintners,
279,aldercreek-vineyard,
